# GEM Global Historical Earthquake Catalogue
# Version 1.0 released on 2013-03-29
# Edited by Paola Albini and Roger M.W. Musson
#
# Copyright (C) 2013 GEM Foundation
#
# Contributions by: see http://www.globalquakemodel.org/contributors
#
# You may use this work under the terms of the CC-BY-NC-SA 3.0 (unported)
# [http://creativecommons.org/licenses/by-nc-sa/3.0/]
#
# THE WORK IS PROTECTED BY COPYRIGHT AND/OR OTHER APPLICABLE
# LAW. INSOFAR AS THIS WORK IS PROTECTED BY LAWS THAT NEIGHBOUR
# OR ARE SIMILARLY RELATED TO COPYRIGHT, SUCH AS DATABASE RIGHTS
# AS INTRODUCED IN EUROPE BY THE DIRECTIVE 96/9/EC, YOU ALSO MAY
# USE THIS WORK UNDER THE TERMS OF CC-BY-NC-SA 3.0 (unported).
# [http://creativecommons.org/licenses/by-nc-sa/3.0/]
#
# ANY USE OF THE WORK OTHER THAN AS AUTHORIZED UNDER THIS
# LICENSE OR DIRECTLY ALLOWED BY THE APPLICABLE LAW IS
# PROHIBITED.
#
# If you have any questions or if you wish to seek permission to use this data
# beyond what is offered by CC-BY-NC-SA 3.0 (unported), please contact the GEM
# Foundation at: licensing@globalquakemodel.org
#
# More information on licensing: http://www.globalquakemodel.org/licensing
# 
# -----------------------------------------------------------------------------
#
# FORMAT DESCRIPTION
# 
# CODE	DDESCRPTION	NOTES
# En	Event number	unique ID of the catalogue, in chronological order
# Source	Main source	selected dataset for time, epicentral coordinates, depth, Io
# Year	Origin time: year	from the selected dataset
# Mo	Origin time: month	from the selected dataset
# Da	Origin time: day	from the selected dataset
# Ho	Origin time: hour	from the selected dataset
# Mi	Origin time: minutes	from the selected dataset
# Se	Origin time: minutes	from the selected dataset
# Area	Epicentral area	from the selected dataset, or (in square brackets) the country (as of today) where the epicentre is located
# Lat	Epicentral latitude	from the selected dataset
# Lon	Epicentral longitude	from the selected dataset
# LatUnc	Uncertainty of epicentral latitude	in km, from the selected dataset, when available
# LonUnc	Uncertainty of epicentral longitude	in km, from the selected dataset, when available
# EpDet	Type of epicentre determination	bx: determined according to the method by Gasperini et al. (1999; 2010)
# 		bw: determined according to the method by Bakun and Wenthworth (1997)
# 	 	cat: derived from another catalogue
# 	 	instr: instrumental
# Dep	depth	in km
# Io	epicentral intensity	from the selected dataset
# Msource	source for the magnitude	the same as "Source", with 65 exceptions
# M	magnitude	from Msource
# MUnc	magnitude uncertainty	from Msource, when available
# MType	type of magnitude	w: Mw
# 	 	s: Ms
# 	 	jma: Mjma
# 	 	<blank>: not specified by the source
# MDet	Type of magnitude determination	bx: determined according to the method by Gasperini et al. (1999; 2010)
# 	 	bw: determined according to the method by Bakun and Wenthworth (1997)
# 	 	int: converted from epicentral or maximum intensity
# 	 	cat: derived from another catalogue
# 	 	instr: instrumental
# MDPsource	Source of the Macroseismic Data Points	 
# MDPn	Number of Macroseismic Data Points	 
# MDPIx	Maximum intensity	 
# MDPsc	Macroseimic scale of the MPDs	MM: modified Mercalli
# 		MSK: Medvedev-Sponheuer-Karnik
# 		EMS: European Macroseimic Scale
# 		MCS: Mercalli-Cancani-Sieberg
# 		JMA: Japan Meteorological Agency
# Remarks	 Additional information from the source
# 
# -----------------------------------------------------------------------------
# 
En	Source	Year	Mo	Da	Ho	Mi	Se	Area	Lat	Lon	LatUnc	LonUnc	EpDet	Dep	Io	Msource	M	MUnc	MType	MDet	MDPSource	MDPn	MDPIx	MDPsc	Remarks
1621.0502	Benito et al., 2012	1621	5	2				Pedro Miguel Fault, canal area	8.97	-79.55			cat		8	Benito et al., 2012	6.9		w					MM	"crustal"
1621.12	Bautista and Oike, 2000	1621	12					Philippines	11.7	122.1						Bautista and Oike, 2000	7.2		s						
1622.1025	Min Ziqun, 1995	1622	10	25				N of Guyuan (Ningxia)	36.5	106.3	50	50			9-10	Min Ziqun, 1995	7		s						
1624.0511	Pelaez et al., 2007	1624	5	11				Fès	34.26	-4.57					9-10	Pelaez et al., 2007	6.7		w						
1626.0121	Sbeinati et al., 2005	1626	1	21				[Syria]	36.5	37.1				20	9	Sbeinati et al., 2005	7.3		s		Sbeinati et al., 2005	4	8-9	EMS	
1626.0628	Min Ziqun, 1995	1626	6	28				Lingqiu (Shanxi)	39.4	114.2	25	25			9	Min Ziqun, 1995	7		s						
1627.09	Bautista and Oike, 2000	1627	9					Philippines	18.7	121.8						Bautista and Oike, 2000	7.5		s						
1629.0801013	Musson, 2012a	1629	8	1	1	30		Indonesia	-4.3	129.6						Musson, 2012a	8.8		w						
1630.030909	Stucchi et al., 2012	1630	3	9	9			Crete	35	23.7	10	10	cat		9	Stucchi et al., 2012	7.3	0.5	w		University of Thessaloniki, 2003	1	8-9	MM	
1630.112715	Tavera et al., 2001	1630	11	27	15	30		[Peru]	-12.2	-77.5				30	7	Tavera et al., 2001	7.5		s		Tavera et al., 2001	2	7	MM	
1633.030105	UTSU online	1633	3	1	5			W side of Kanagawa Pref.	35.2	139.2						UTSU online	7		jma						
1637.020101	Stucchi et al., 2012	1637	2	1	1			[Vrancea deep]	45.7	26.6	29.9	29.9	cat	130	8	Stucchi et al., 2012	7.1	0.3	w						
1638.032715	Stucchi et al., 2012	1638	3	27	15	5		Calabria	39.048	16.289	3.6	1.1	bx		11	Stucchi et al., 2012	7.02	0.3	w		Guidoboni et al., 2007	213	11	MCS	
1644.011611	CERESIS, 1995	1644	1	16	11			[Colombia]	7.4	-72.7					9	CERESIS, 1995	7		s				9		
1644.051212	Musson, 2012a	1644	5	12	12			Ambon	-3.85	128.4						Musson, 2012a	7		w						
1645.0315	Beauval et al., 2013	1645	3	15				Chimborazo	-1.73	-78.8						Beauval et al., 2013	7	0.3	w	bw					"Mw: 6.7–7.3"
1645.113012	Bautista and Oike, 2000	1645	11	30	12	30		Philippines	15.6	121.2						Bautista and Oike, 2000	7.9		s						
1647.051402	CERESIS, 1995	1647	5	14	2	30		[Chile]	-33	-72					11	Lomnitz, 2004	8		s				11		
1648	Benito et al., 2012	1648						[Nicaragua]	12.5	-86.8			cat		8	Benito et al., 2012	7.2		w					MM	
1648.0202	Musson, 2012a	1648	2	2				Flores	-8.4	122.95						Musson, 2012a	7		w						
1648.061312	UTSU online	1648	6	13	12			Kanagawa Pref.	35.2	139.2						UTSU online	7		jma						
1649.031712	UTSU online	1649	3	17	12			Ehime and Hiroshima Pref.	33.7	132.5						UTSU online	7		jma						
1649.073001	UTSU online	1649	7	30	1			Tokyo, Saitama Pref.	35.8	139.5						UTSU online	7		jma						
1650.033116	Tavera et al., 2001	1650	3	31	16	10		[Peru]	-13.6	-72.2				70	10	Tavera et al., 2001	7.4		s		Tavera et al., 2001	9	9	MM	
1650.033119	Tavera et al., 2001	1650	3	31	19			[Peru]	-13.5	-71.7				30	10	Tavera et al., 2001	7.2		s		Tavera et al., 2001	10	9	MM	
1651	Benito et al., 2012	1651						[Nicaragua]	11.2	-85.2			cat		8	Benito et al., 2012	7.3		w					MM	
1652.0713	Min Ziqun, 1995	1652	7	13				S of Midu (Yunnan)	25.2	100.6	25	25			9+	Min Ziqun, 1995	7		s						
1654	Min Ziqun, 1995	1654						Xizang (Tibet)	30.8	95.6	50	50			9	Min Ziqun, 1995	7		s						
1654.0721	Min Ziqun, 1995	1654	7	21				S of Tongwei (Gansu)	34.3	105.5	25	25			11	Min Ziqun, 1995	8		s		Min Ziqun, 1995		10		
1655.111319	CERESIS, 1995	1655	11	13	19	45		[Peru]	-12.3	-77.6				30	10	CERESIS, 1995	7.7		s				10		
1657.031523	CERESIS, 1995	1657	3	15	23	30		[Chile]	-36.83	-73.03					11	Lomnitz, 2004	8		s				11		
1658.0214	Tavera et al., 2001	1658	2	14				[Peru]	-8.2	-80.1				40	7	Tavera et al., 2001	7.7		s		Tavera et al., 2001	1	7	MM	
1659.0217	Stucchi et al., 2012	1659	2	17				Redestos	40.713	27.256	50	50	bw			Stucchi et al., 2012	7.1	0.3	w		University of Thessaloniki, 2003	6	8	MM	
1659.12	Musson, 2012a	1659	12					Indonesia	-4.2	127						Musson, 2012a	7.5		w						
1662.061612	UTSU online	1662	6	16	12			Kinki	35.2	135.95						UTSU online	7.4		jma						
1662.1031	UTSU online	1662	10	31				Hyuga,Osumi	31.7	132						UTSU online	7.6		jma						
1663	Benito et al., 2012	1663						[Nicaragua]	12.42	-86.55			cat		8	Benito et al., 2012	7.3		w					MM	
1663.020522	Lamontagne et al., 2008	1663	2	5	22	30		Charlevoix-Kamouraska, Quebec	47.6	-70.1					9	Schulte and Mooney, 2005	6.7	1	w				9		
1664	Ambraseys and Douglas, 2004	1664						N Bangla	25	90						Ambraseys and Douglas, 2004	7.7		w						
1664.052209	Tavera et al., 2001	1664	5	12	9	15		[Peru]	-14.1	-75.85				15	10	Tavera et al., 2001	7.3		s		Tavera et al., 2001	7	10	MM	
1666.0922	Sbeinati et al., 2005	1666	9	22				[Iraq]	37	43				35	9	Sbeinati et al., 2005	6.9		s		Sbeinati et al., 2005	6	7-8	EMS	
1666.111309	Shebalin and Tatevossian, 1997	1666	11	13	9			Turkey	39.7	39.5	131	111		10	10	Shebalin and Tatevossian, 1997	7.5		s		Shebalin and Tatevossian, 1997	1		MSK	
1667	Alvarez et al., 1999	1667						[Jamaica]	17.8	-77				30		Alvarez et al., 1999	6.7		s						
1668.0114	Shebalin and Tatevossian, 1997	1668	1	14				Azerbaijan	41	48	66	56		40	10	Shebalin and Tatevossian, 1997	7.8		s		Shebalin and Tatevossian, 1997	20		MSK	
1668.0725	Min Ziqun, 1995	1668	7	25				Tancheng (Shandong)	34.8	118.5	25	25			11	Min Ziqun, 1995	8.5		s		Min Ziqun, 1995		11		
1668.0729	Shebalin and Leydecker, 1997	1668	7	29				Caucasus	41	48	133	111		30		Shebalin and Leydecker, 1997	7.1		s						
1668.0817	Ambraseys and Jackson, 1998	1668	8	17				Amasya	40.5	36						Ambraseys and Jackson, 1998	7.9		s						
1671.1017	Musson, 2012a	1671	10	17				Saparua	-3.8	128.7						Musson, 2012a	7.5		w						
1672.0214	Stucchi et al., 2012	1672	2	14				Bozcaada	39.818	25.717	50	50	bw			Stucchi et al., 2012	7.05	0.33	w		Taxeidis, 2003	5	8	EMS	
1673.050911	Alvarez et al., 1999	1673	5	9	11	30		[Dominican Republic]	18.4	-70.3				30		Flores et al., 2012	7.3	0.7	w	bw					
1673.0812141	Musson, 2012a	1673	8	12	14	15		Indonesia	0.8	127.3						Musson, 2012a	7		w						
1674.0316	Palme et al., 2005	1674	3	16				[Venezuela]	8.95	-70.8			bw			Palme et al., 2005	7.4	0.63	w	bw					
1675.0216233	Musson, 2012a	1675	2	16	23	30		Ambon	-4	127.75						Musson, 2012a	7.9		w						
1677.041302	UTSU online	1677	4	13	2			Sanriku area	41	143						UTSU online	7.9		jma						
1677.11042	UTSU online	1677	11	4	20			Fukushima Pref., E Kanto area	35	141.5						UTSU online	8		jma						
1677.120711	Bautista and Oike, 2000	1677	12	7	11	30		Philippines	14.5	119.5						Bautista and Oike, 2000	7.3		s						
1678.021114	Alvarez et al., 1999	1678	2	11	14	59		[Cuba]	19.9	-76				30		Alvarez et al., 1999	6.7		s						
1678.061601	Tavera et al., 2001	1678	6	16	1	45		[Peru]	-12.3	-77.8				40	9	Tavera et al., 2001	7.7		s		Tavera et al., 2001	6	8	MM	
1678.10022	UTSU online	1678	10	2	20			Tohoku area	39	142						UTSU online	7.5		jma						
1679.0902	Min Ziqun, 1995	1679	9	2				Sanhe and Pinggu (Hebei)	40	117	25	25			11	Min Ziqun, 1995	8		s		Min Ziqun, 1995		10		
1681.011	Stucchi et al., 2012	1681	1	10				Heraklio	35.4	23.5	10	10	cat		8	Stucchi et al., 2012	7	0.5	w		University of Thessaloniki, 2003	3	8	MM	
1681.031	CERESIS, 1995	1681	3	10				[Chile]	-18.5	-70.35					10	Lomnitz, 2004	7.25	0.25	s				10		
1681.0818	Stucchi et al., 2012	1681	8	18				[Vrancea deep]	45.7	26.6	29.9	29.9	cat	150	8	Stucchi et al., 2012	7.1	0.3	w						
1681.1211	Musson, 2012a	1681	12	11				Indonesia	-2.2	99						Musson, 2012a	7		w						
1681.122704	Stucchi et al., 2012	1681	12	27	4	30		[Vrancea]	45.7	26.6	29.9	29.9	cat	150	8	Stucchi et al., 2012	7.1	0.3	w						
1683.1016	Musson, 2012a	1683	10	16				Banda	-4.5	130.3						Musson, 2012a	7		w						
1683.102005	UTSU online	1683	10	20	5			Tochigi Pref., Fukushima Pref.	36.9	139.9						UTSU online	7		jma						
1683.1122	Min Ziqun, 1995	1683	11	22				Close to Yuanping (Shanxi)	38.7	112.7	25	25			9	Min Ziqun, 1995	7		s						
1684	Alvarez et al., 1999	1684						[Dominican Republic]	18.4	-70.3				30		Flores et al., 2012	7	0.7	w	bw					
1686.010411	UTSU online	1686	1	4	11			Hiroshima, Yamaguchi, Ehime Pref.	34	132.6						UTSU online	7.2		jma						
1686.100309	Usami, 1979	1686	10	3	7			Japan	34.45	137.4						Usami, 1979	7		jma						
1687.071207	CERESIS, 1995	1687	7	12	7			[Chile]	-32.75	-70.73					8	Lomnitz, 2004	7.25	0.25	s				8		
1687.102011	Tavera et al., 2001	1687	10	20	10	30		[Peru]	-13.231	-76.507				30	10	Tavera et al., 2001	8.6		w		Tavera et al., 2001	14	9	MM	
1688.1019	Bautista and Oike, 2000	1688	10	19				Philippines	16.95	122.2						Bautista and Oike, 2000	7.5		s						
1690.0405	Flores et al., 2012	1690	4	5				Lesser Antilles	17.08	-62.51			bw			Flores et al., 2012	7.5	0.2	w	bw	Flores et al., 2012	11	9	MM	
1690.112019	Tavera et al., 2001	1690	11	20	19	30		[Peru]	-12.55	-77				40	6	Tavera et al., 2001	7.2		s		Tavera et al., 2001	1	6	MM	
1691	Alvarez et al., 1999	1691						[Dominican Republic]	18.4	-70.3				30		Flores et al., 2012	7.5	0.7	w	bw					
1692.060716	SisFrance, 2010	1692	6	17	16	40		Jamaique	17.966	-76.783	50	50			10	Alvarez et al., 1999	7.5		s		SisFrance, 2010	11	10	MSK	
1692.091311	CERESIS, 1995	1692	9	13	11			[Argentina]	-25.4	-64.8				30	9	CERESIS, 1995	7		s				9		
1693.011113	Stucchi et al., 2012	1693	1	11	13	30		Sicilia orientale	37.14	15.013	5.4	15.6	bx		11	Stucchi et al., 2012	7.42	0.3	w		Guidoboni et al., 2007	185	11	MCS	
1694.061907	UTSU online	1694	6	19	7			N side of Akita Pref.	40.2	140.1						UTSU online	7		jma						
1695.051124	Ambraseys and Melville, 1982	1695	5	12				Isfara'in	36.8	57						Ambraseys and Melville, 1982	7		s						
1695.0518	Min Ziqun, 1995	1695	5	18				Linfen (Shanxi)	36	111.5	25	25			10	Min Ziqun, 1995	7.75		s		Min Ziqun, 1995		10		
1696.0414	Ambraseys and Melville, 1982	1696	4	14				Chaldiran	39.1	43.9						Ambraseys and Melville, 1982	7		s						
1696.071409	Tavera et al., 2001	1696	7	14	9			[Peru]	-12.8	-77.7				20	6	Tavera et al., 2001	6.7		s						
1697.0207	Zúñiga et al., 1997	1697	2	7				Costa de Guerrero	16.5	-99					9	Zúñiga et al., 1997	7.5		w				9		
1697.092913	Tavera et al., 2001	1697	9	29	13	30		[Peru]	-12.3	-77.4				30	6	Tavera et al., 2001	7.3		s						
1698.062006	Beauval et al., 2010	1698	6	20				Ambato	-1.4	-78.8			bw		9	Beauval et al., 2010	7.3	0.35	w	bw	Beauval et al., 2010	20	9	MSK	
1698.100208	Ambraseys et al., 1994	1698	10	2	8	30		Mediterranean?	32	30						Ambraseys et al., 1994	6		s						
1699.0104183	Musson, 2012a	1699	1	4	18	30		Batavia	-7	105.5						Musson, 2012a	7.5		w						
1699.071409	Tavera et al., 2001	1699	7	14	9			[Peru]	-11.8	-77.5				40	7	Tavera et al., 2001	7.8		s		Tavera et al., 2001	2	7	MM	
1700.012705	Lamontagne et al., 2008	1700	1	27	5			Cascadia Subduction Zone	48.5	-125					7	Lamontagne et al., 2008	9		w				7		
1700.0415	UTSU online	1700	4	15				Iki, Tsushima	33.9	129.6						UTSU online	7		jma						
1701.0612	Stucchi et al., 2012	1701	6	12				[Vrancea deep]	45.7	26.6	29.9	29.9	cat	150	8	Stucchi et al., 2012	7.1	0.3	w						
1701.1109	Flores et al., 2012	1701	11	9				[Haiti]	18.42	-72.65			bw			Flores et al., 2012	6.6	0.3	w	bw	Flores et al., 2012	5	7	MM	
1703.1231021	Grunewald and Stein, 2006	1703	12	31				S Kanto	35.03	139.66						Grunewald and Stein, 2006	8.2	0.2	jma		Usami, 1994	83		JMA	
1704.052713	UTSU online	1704	5	27	13			Akita Pref., Aomori Pref.	40.4	140						UTSU online	7		jma						
1705.1	Musson, 2012a	1705	10					Ambon	-4	127.9						Musson, 2012a	7		w						
1705.1124	Sbeinati et al., 2005	1705	11	24				[Syria]	33.7	36.6				35	8	Sbeinati et al., 2005	6.9		s		Sbeinati et al., 2005	4	8	EMS	
1707.102814	UTSU online	1707	10	28	14			Western Japan	33	136						UTSU online	8.6		jma						
1707.102906	UTSU online	1707	10	29	6			Shizuoka and Yamanashi Pref.	35.1	138.6						UTSU online	7		jma						
1709.1014	Min Ziqun, 1995	1709	10	14				Zhongwei (Ningxia)	37.4	105.3	25	25			9-10	Min Ziqun, 1995	7.5		s		Min Ziqun, 1995		8		
1710.0306	Musson, 2012a	1710	3	6				Indonesia	-4.53	129.9						Musson, 2012a	7		w						
1711	White et al., 2004	1711						Comasagua	13.667	-89.417					7	White et al., 2004	7	0.3	w				7	MM	"subduction"
1712.1214	White et al., 2004	1712	12	14				Costuma	13.583	-88.833					8	White et al., 2004	7.1	0.2	w				8	MM	"subduction"
1713.0904	Min Ziqun, 1995	1713	9	4				Diexi and Maoxian (Sichuan)	32	103.7	25	25			9	Min Ziqun, 1995	7		s						
1715.0823	CERESIS, 1995	1715	8	23				[Peru]	-17.3	-70.8				80	7	Lomnitz, 2004	8		s				7		
1716	Shebalin and Leydecker, 1997	1716						Middle Asia, Kazakhstan	41.2	80.3	66	56		30		Shebalin and Leydecker, 1997	7.5		s						
1716.020302	Hamdache et al., 2010	1716	2	3	2			Algeria	36.7	3.1					10	Hamdache et al., 2010	7		w						
1717	Stucchi et al., 2012	1717						Crete	35.9	22.9	10	10	cat		8	Stucchi et al., 2012	7	0.5	w		University of Thessaloniki, 2003	1	8	MM	
1717.051314	UTSU online	1717	5	13	14			Sendai	38.5	142.5						UTSU online	7.5		jma						
1717.0929	White et al., 2004	1717	9	29				Patzicia	14.5	-90.75					8	White et al., 2004	7.4	0.2	w				8	MM	"subduction"
1717.1003	White et al., 2004	1717	10	3				Amatitlan, Guazacapan	14.333	-90.5					6-7	White et al., 2004	7	0.2	w				6-7	MM	"subduction"
1718.0619	Min Ziqun, 1995	1718	6	19				S of Tongwei (Gansu)	35	105.2	25	25			10	Min Ziqun, 1995	7.5		s						
1718.082214	UTSU online	1718	8	22	14			S Nagano Pref. (Inadani)	35.3	137.9						UTSU online	7		jma						
1719.0305	White et al., 2004	1719	3	5				Ystepeque	13.667	-89					8	White et al., 2004	7.6	0.2	w				8	MM	"subduction"
1719.0525	Stucchi et al., 2012	1719	5	25				Izmit	40.733	29.777	4.5	13.5	bx		9-10	Stucchi et al., 2012	6.75	0.3	w		University of Thessaloniki, 2003	13	10	MM	
1720	White et al., 2004	1720						Siquinala	14.667	-91					7	White et al., 2004	7	0.2	w				7	MM	"subduction"
1720.072512	Ambraseys and Douglas, 2004	1720	7	25	12	30		N Uttarpradesh	30	80						Ambraseys and Douglas, 2004	7.4		w						
1721.042607	Ambraseys and Melville, 1982	1721	4	26	7			SW Tabriz	37.9	46.7						Ambraseys and Melville, 1982	7.7		s						
1724.101202	Stucchi et al., 2012	1724	10	12	2	45		[Océano Atlántico]	39	-12.5	99.9	99.9	cat			Stucchi et al., 2012	7	0.5	w						
1724.11	Dimate et al., 2005	1724	11					Chita	6.2	-72.48					8	Dimate et al., 2005	6.75		w						
1725.010704	CERESIS, 1995	1725	1	7	4	15		[Peru]	-9.2	-79.3				60	9	Dorbath et al., 1990	7.5		w				9		
1725.020111	Tatevossian et al., 2012	1725	2	1				[Russia]	52.36	114.2					6-7	Tatevossian et al., 2012	6.8	0.2	s		Tatevossian et al., 2012	4	6-7	MSK	
1725.0801	Min Ziqun, 1995	1725	8	1				Kangding (Sichuan)	30	101.9	25	25			9	Min Ziqun, 1995	7		s						
1727.1109	SisFrance, 2010	1727	11	9	18	30		Nord-Est Martinique	14.983	-60.75	50	50				Tanner and Shepherd, 1997	6.57		w		SisFrance, 2010	2	6-7	MSK	"subduction"
1730.07081	CERESIS, 1995	1730	7	8	10			[Chile]	-33.05	-71.63					11	Lomnitz, 2004	8.75	0.25	s				11		
1730.111103	UTSU online	1730	11	11	3			Coast of Ibakaki Pref.	36	142						UTSU online	7.3		jma						
1732.120206	Tavera et al., 2001	1732	12	2	6			[Peru]	-11.8	-77.6				50	6	Tavera et al., 2001	6.9		s		Tavera et al., 2001	3	6	MM	
1733.05	White et al., 2004	1733	5					Patzicia	14.667	-91.083					7	White et al., 2004	7	0.2	w				7	MM	"subduction"
1733.0802	Min Ziqun, 1995	1733	8	2				Dongchuan and Ziniupo (Yunnan)	26.2	103.1	25	25			10	Min Ziqun, 1995	7.75		s		Min Ziqun, 1995		10		
1733.113	Gouin, 1979	1733	11	30				Eritrean scarp	15.7	39						Gouin, 1979	6		m						
1736.0506	White et al., 2004	1736	5	6				Tecoluca	13.583	-88.917					8	White et al., 2004	7.2	0.1	w				8	MM	"subduction"
1737.030617	Stucchi et al., 2012	1737	3	6	17	30		Ezine	40.224	26.966	24.7	36.8	bx		10	Stucchi et al., 2012	7.36	0.67	w		Taxeidis, 2003	14	10	EMS	
1737.101715	Shebalin and Leydecker, 1997	1737	10	17	15	30		Kamchatka	51.1	158	148	111		40		Shebalin and Leydecker, 1997	8.3		s						
1737.110408	Shebalin and Leydecker, 1997	1737	11	4	8			Kamchatka	55.5	163	316	223		20		Shebalin and Leydecker, 1997	7.8		s						location error very large (+/-2 degrees).
1737.1224	CERESIS, 1995	1737	12	24				[Chile]	-39.8	-73.2					11	Lomnitz, 2004	7.5		s				11		
1738.06111	Stucchi et al., 2012	1738	6	11	10			[Vrancea deep]	45.7	26.6	29.9	29.9	cat	130	9-10	Stucchi et al., 2012	7.7	0.3	w		Shebalin (ed.), 1977	8	8	MSK	
1738.1223	Min Ziqun, 1995	1738	12	23				Yushu, Qinghai	33.3	96.6	100	100			8	Min Ziqun, 1995	6.5		s						
1738.122601	Shebalin and Leydecker, 1997	1738	12	26	1			Kamchatka	55	157.5	156	111		350		Shebalin and Leydecker, 1997	7.1		s						very doubtful parameters
1739.0103	Min Ziqun, 1995	1739	1	3				Pingluo and Yinchuan (Ningxia)	38.8	106.5	25	25			10+	Min Ziqun, 1995	8		s						
1740.0405	Stucchi et al., 2012	1740	4	5				[Vrancea deep]	45.7	26.6	29.9	29.9	cat	150	8-9	Stucchi et al., 2012	7.3	0.3	w						
1741.013101	Stucchi et al., 2012	1741	1	31	1	15		Rhodos	36.16	28.5	50	50	bw			Stucchi et al., 2012	7.54	0.3	w		University of Thessaloniki, 2003	7	8	MM	
1741.0215	Tanner and Shepherd, 1997	1741	2	15				[Guatemala]	15.75	-90.42				10	8	Tanner and Shepherd, 1997	7		w						
1741.0825	Tavera et al., 2001	1741	8	25				[Ecuador]	-3.1	-78.1					9	Tavera et al., 2001	6.8		s						
1742	White et al., 2004	1742						Comasagua	14	-90.083					8	White et al., 2004	7.2	0.1	w				8	MM	"subduction"
1742.0000003	White et al., 2004	1742						Tacuilula	13.583	-89.083					8	White et al., 2004	7.1	0.2	w				8	MM	"subduction"
1742.062705	Tatevossian et al., 2012	1742	6	27				[Russia]	53.5	109.5					7	Tatevossian et al., 2012	7.7	0.3	s		Tatevossian et al., 2012	6	7	MSK	
1742.081	White et al., 2004	1742	8	10				San Antonio Suchilepequez	14.5	-91.5					8	White et al., 2004	7.1	0.2	w				8	MM	"subduction"
1743.022016	Stucchi et al., 2012	1743	2	20	16	30		Basso Ionio	39.846	18.772	57.5	83.1	bx		9	Stucchi et al., 2012	7.1	0.3	w		Boschi et al., 2000	77	9	MCS	
1743.053	White et al., 2004	1743	5	30				Tuxtla	16.75	-92.75					8	White et al., 2004	7.8	0.4	w				8	MM	"subduction"
1746.102903	Tavera et al., 2001	1746	10	29	3	30		[Peru]	-11.996	-77.198				30	10	Tavera et al., 2001	8.8		w		Tavera et al., 2001	21	10	MM	
1747.1013	White et al., 2004	1747	10	13				Cuyotenango	14.667	-91.5					8	White et al., 2004	7.1	0.2	w				8	MM	"subduction"
1748.0313	White et al., 2004	1748	3	13				Olocuitla	13.667	-89.083					8	White et al., 2004	7.1	0.2	w				8	MM	"subduction"
1749.012	Tavera et al., 2001	1749	1	20				[Ecuador]	-4	-79.3					8	Tavera et al., 2001	7.4		s						
1750	Benito et al., 2012	1750						Pacific Coast (subduction) 	10.9	-86			cat	45	8	Benito et al., 2012	7.2		w					MM	
1751	Ambraseys and Jackson, 2003	1751						Guge	31.3	80						Ambraseys and Jackson, 2003	7		s						
1751.0304	White et al., 2004	1751	3	4				Compala	14.667	-90.833					8	White et al., 2004	7.3	0.1	w				8	MM	"subduction"
1751.052102	UTSU online	1751	5	21	2			Niigata Pref., N Nagano Pref.	37.1	138.2						UTSU online	7.2		jma						
1751.052505	CERESIS, 1995	1751	5	25	5	30		[Chile]	-36.83	-73.03					11	Lomnitz, 2004	8.5		s				11		
1751.091603	Alvarez et al., 1999	1751	9	16	3	29		[Haiti]	18.6	-72.3				30		Alvarez et al., 1999	6.8		s						
1751.10182	Flores et al., 2012	1751	10	18				[Dominican Republic]	18.36	-70.84			bw			Flores et al., 2012	7.45	0.2	w	bw	Flores et al., 2012	14	8	MM	
1751.112113	Flores et al., 2012	1751	11	21				[Haiti]	18.54	-72.32			bw			Flores et al., 2012	6.6	0.2	w	bw	Flores et al., 2012	14	9	MM	
1754.0615	Stucchi et al., 2012	1754	6	15				[Corinth]	37.8	22.8	10	10	cat		8	Stucchi et al., 2012	7	0.5	w		University of Thessaloniki, 2003	1	8	MM	
1754.0818073	Musson, 2012a	1754	8	18	7	35		Indonesia	-3.5	128.5						Musson, 2012a	7		w						
1754.0901	Zúñiga et al., 1997	1754	9	1				Costa de Guerrero	16.8	-100					11	Zúñiga et al., 1997	7.8		w				11		
1754.1	Ambraseys et al., 1994	1754	10					Gulf of Suez ?	29.6	32.2						Ambraseys et al., 1994	6.6		s						
1755.110109	Stucchi et al., 2012	1755	11	1	9	30		Lisboa	36.5	-10	49.9	49.9	cat			Stucchi et al., 2012	8.5	0.3	w		Sousa Moreira, 1984	128	10	MM	
1756.0213	Stucchi et al., 2012	1756	2	13				Rhodos	36.3	27.5	10	10	cat		7	Stucchi et al., 2012	7.5	0.35	w		University of Thessaloniki, 2003	5	7	MM	
1756.1103	Musson, 2012a	1756	11	3				Indonesia	-4.5	101.4						Musson, 2012a	7.9		w						
1757.1004	White et al., 2004	1757	10	4				Alotenango	14.5	-90.75					7	White et al., 2004	6.8	0.3	w				7	MM	"subduction"
1759.1125	Sbeinati et al., 2005	1759	11	25				[Lebanon]	33.7	35.9				30	9	Sbeinati et al., 2005	7.4		s		Sbeinati et al., 2005	24	8	EMS	
1760.0711	Alvarez et al., 1999	1760	7	11				[Cuba]	19.9	-76				30		Alvarez et al., 1999	6.7		s						
1761.033112	Stucchi et al., 2012	1761	3	31	12	15		SW. Cabo San Vicente	36	-10.5	99.9	99.9	cat			Stucchi et al., 2012	7.5	0.5	w		Instituto Geografíco Nacional, 2010	77	6-7	EMS	
1762.040217	Cummins, 2007	1762	4	2				Arakan	20	93.5						Cummins, 2007	8.8		w						
