# GEM Global Historical Earthquake Catalogue
# Version 1.0 released on 2013-03-29
# Edited by Paola Albini and Roger M.W. Musson
#
# Copyright (C) 2013 GEM Foundation
#
# Contributions by: see http://www.globalquakemodel.org/contributors
#
# You may use this work under the terms of the CC-BY-NC-SA 3.0 (unported)
# [http://creativecommons.org/licenses/by-nc-sa/3.0/]
#
# THE WORK IS PROTECTED BY COPYRIGHT AND/OR OTHER APPLICABLE
# LAW. INSOFAR AS THIS WORK IS PROTECTED BY LAWS THAT NEIGHBOUR
# OR ARE SIMILARLY RELATED TO COPYRIGHT, SUCH AS DATABASE RIGHTS
# AS INTRODUCED IN EUROPE BY THE DIRECTIVE 96/9/EC, YOU ALSO MAY
# USE THIS WORK UNDER THE TERMS OF CC-BY-NC-SA 3.0 (unported).
# [http://creativecommons.org/licenses/by-nc-sa/3.0/]
#
# ANY USE OF THE WORK OTHER THAN AS AUTHORIZED UNDER THIS
# LICENSE OR DIRECTLY ALLOWED BY THE APPLICABLE LAW IS
# PROHIBITED.
#
# If you have any questions or if you wish to seek permission to use this data
# beyond what is offered by CC-BY-NC-SA 3.0 (unported), please contact the GEM
# Foundation at: licensing@globalquakemodel.org
#
# More information on licensing: http://www.globalquakemodel.org/licensing
# 
# -----------------------------------------------------------------------------
#
# FORMAT DESCRIPTION
# 
# CODE	DDESCRPTION	NOTES
# En	Event number	unique ID of the catalogue, in chronological order
# Source	Main source	selected dataset for time, epicentral coordinates, depth, Io
# Year	Origin time: year	from the selected dataset
# Mo	Origin time: month	from the selected dataset
# Da	Origin time: day	from the selected dataset
# Ho	Origin time: hour	from the selected dataset
# Mi	Origin time: minutes	from the selected dataset
# Se	Origin time: seconds	from the selected dataset
# Area	Epicentral area	from the selected dataset, or (in square brackets) the country (as of today) where the epicentre is located
# Lat	Epicentral latitude	from the selected dataset
# Lon	Epicentral longitude	from the selected dataset
# LatUnc	Uncertainty of epicentral latitude	in km, from the selected dataset, when available
# LonUnc	Uncertainty of epicentral longitude	in km, from the selected dataset, when available
# EpDet	Type of epicentre determination	bx: determined according to the method by Gasperini et al. (1999; 2010)
# 		bw: determined according to the method by Bakun and Wenthworth (1997)
# 	 	cat: derived from another catalogue
# 	 	instr: instrumental
# Dep	depth	in km
# Io	epicentral intensity	from the selected dataset
# Msource	source for the magnitude	the same as "Source", with 65 exceptions
# M	magnitude	from Msource
# MUnc	magnitude uncertainty	from Msource, when available
# MType	type of magnitude	w: Mw
# 	 	s: Ms
# 	 	jma: Mjma
# 	 	<blank>: not specified by the source
# MDet	Type of magnitude determination	bx: determined according to the method by Gasperini et al. (1999; 2010)
# 	 	bw: determined according to the method by Bakun and Wenthworth (1997)
# 	 	int: converted from epicentral or maximum intensity
# 	 	cat: derived from another catalogue
# 	 	instr: instrumental
# MDPsource	Source of the Macroseismic Data Points	 
# MDPn	Number of Macroseismic Data Points	 
# MDPIx	Maximum intensity	 
# MDPsc	Macroseimic scale of the MPDs	MM: modified Mercalli
# 		MSK: Medvedev-Sponheuer-Karnik
# 		EMS: European Macroseimic Scale
# 		MCS: Mercalli-Cancani-Sieberg
# 		JMA: Japan Meteorological Agency
# Remarks	 Additional information from the source
# 
# -----------------------------------------------------------------------------
# 
En	Source	Year	Mo	Da	Ho	Mi	Se	Area	Lat	Lon	LatUnc	LonUnc	EpDet	Dep	Io	Msource	M	MUnc	MType	MDet	MDPSource	MDPn	MDPIx	MDPsc	Remarks	GEHid
1610.0203190	Palme et al., 2005	1610	02	03				[Venezuela]	8.450	-71.650			bw			Palme et al., 2005	7.60	0.63	w	bw						7895
1611.0825000	Torres-Vera, 2010	1611	08	31				Oaxaca	17.825	-97.640			bx			Torres-Vera, 2010	7.40		s		Torres-Vera, 2010	7	7	MM		8905
1611.1202140	UTSU online	1611	12	02	14			Sanriku, E coast of Hokkaido	39.000	144.000						UTSU online	8.10		jma							876
1612.1108000	Stucchi et al., 2012	1612	11	08				Heraklio	35.000	23.800	10.0	10.0	cat		8	Stucchi et al., 2012	7.20	0.50	w		University of Thessaloniki, 2003	1	8	MM		878
1614.1126000	Usami, 1979	1614	11	26				Japan	37.500	138.000						Usami, 1979	7.70		jma							7510
1615.0907000	Chuy and Alvarez, 1988	1615	09	08				[Dominican Republic]	18.400	-69.900				30	7	Flores et al., 2012	7.50	0.70	w	bw	Chuy and Alvarez, 1988	1	7	MSK		8338
1615.0916000	CERESIS, 1995	1615	09	16				[Chile]	-18.500	-70.350					10	CERESIS, 1995	7.50		s				10			893
1616.0200000	CERESIS, 1995	1616	02					[Colombia]	5.000	-74.000					9	CERESIS, 1995	7.00		s				9			899
1616.0909150	UTSU online	1616	09	09	15			Sendai	38.100	142.000						UTSU online	7.00		jma							902
1619.0214160	CERESIS, 1995	1619	02	14	16	30		[Peru]	-8.900	-79.300				50	9	Dorbath et al., 1990	7.85	0.15	w				9			910
1619.1130160	Bautista and Oike, 2000	1619	11	30	16			Philippines	18.500	121.600						Bautista and Oike, 2000	8.00		s							920
1621.0502000	Benito et al., 2012	1621	05	02				Pedro Miguel Fault, canal area	8.970	-79.550			cat		8	Benito et al., 2012	6.90		w					MM	"crustal"	5342
1621.1200000	Bautista and Oike, 2000	1621	12					Philippines	11.700	122.100						Bautista and Oike, 2000	7.20		s							926
1622.1025000	Min Ziqun, 1995	1622	10	25				N of Guyuan (Ningxia)	36.500	106.300	50.0	50.0			9-10	Min Ziqun, 1995	7.00		s							6140
1624.0511000	Pelaez et al., 2007	1624	05	11				Fès	34.260	-4.570					9-10	Pelaez et al., 2007	6.70		w							7603
1626.0121000	Sbeinati et al., 2005	1626	01	21				[Syria]	36.500	37.100				20	9	Sbeinati et al., 2005	7.30		s		Sbeinati et al., 2005	4	8-9	EMS		942
1626.0628000	Min Ziqun, 1995	1626	06	28				Lingqiu (Shanxi)	39.400	114.200	25.0	25.0			9	Min Ziqun, 1995	7.00		s							6145
1627.0900000	Bautista and Oike, 2000	1627	09					Philippines	18.700	121.800						Bautista and Oike, 2000	7.50		s							947
1629.0801013	Musson, 2012a	1629	08	01	01	30		Indonesia	-4.300	129.600						Musson, 2012a	8.80		w							7771
1630.0309090	Stucchi et al., 2012	1630	03	09	09			Crete	35.000	23.700	10.0	10.0	cat		9	Stucchi et al., 2012	7.30	0.50	w		University of Thessaloniki, 2003	1	8-9	MM		953
1630.1127150	Tavera et al., 2001	1630	11	27	15	30		[Peru]	-12.200	-77.500				30	7	Tavera et al., 2001	7.50		s		Tavera et al., 2001	2	7	MM		7903
1633.0301050	UTSU online	1633	03	01	05			W side of Kanagawa Pref.	35.200	139.200						UTSU online	7.00		jma							968
1637.0201010	Stucchi et al., 2012	1637	02	01	01			[Vrancea deep]	45.700	26.600	29.9	29.9	cat	130	8	Stucchi et al., 2012	7.10	0.30	w							977
1638.0327150	Stucchi et al., 2012	1638	03	27	15	05		Calabria	39.048	16.289	3.6	1.1	bx		11	Stucchi et al., 2012	7.02	0.30	w		Guidoboni et al., 2007	213	11	MCS		979
1644.0116110	CERESIS, 1995	1644	01	16	11			[Colombia]	7.400	-72.700					9	CERESIS, 1995	7.00		s				9			1000
1644.0512120	Musson, 2012a	1644	05	12	12			Ambon	-3.850	128.400						Musson, 2012a	7.00		w							7772
1645.0315000	Beauval et al., 2013	1645	03	15				Chimborazo	-1.730	-78.800						Beauval et al., 2013	7.00	0.30	w	bw					"Mw: 6.7–7.3"	8964
1645.1130120	Bautista and Oike, 2000	1645	11	30	12	30		Philippines	15.600	121.200						Bautista and Oike, 2000	7.90		s							1015
1647.0514020	CERESIS, 1995	1647	05	14	02	30		[Chile]	-33.000	-72.000					11	Lomnitz, 2004	8.00		s				11			1023
1648.0000000	Benito et al., 2012	1648						[Nicaragua]	12.500	-86.800			cat		8	Benito et al., 2012	7.20		w					MM		5316
1648.0202000	Musson, 2012a	1648	02	02				Flores	-8.400	122.950						Musson, 2012a	7.00		w							7773
1648.0613120	UTSU online	1648	06	13	12			Kanagawa Pref.	35.200	139.200						UTSU online	7.00		jma							1031
1649.0317120	UTSU online	1649	03	17	12			Ehime and Hiroshima Pref.	33.700	132.500						UTSU online	7.00		jma							1033
1649.0730010	UTSU online	1649	07	30	01			Tokyo, Saitama Pref.	35.800	139.500						UTSU online	7.00		jma							1034
1650.0331160	Tavera et al., 2001	1650	03	31	16	10		[Peru]	-13.600	-72.200				70	10	Tavera et al., 2001	7.40		s		Tavera et al., 2001	9	9	MM		7912
1650.0331190	Tavera et al., 2001	1650	03	31	19			[Peru]	-13.500	-71.700				30	10	Tavera et al., 2001	7.20		s		Tavera et al., 2001	10	9	MM		7913
1651.0000000	Benito et al., 2012	1651						[Nicaragua]	11.200	-85.200			cat		8	Benito et al., 2012	7.30		w					MM		5317
1652.0713000	Min Ziqun, 1995	1652	07	13				S of Midu (Yunnan)	25.200	100.600	25.0	25.0			9+	Min Ziqun, 1995	7.00		s							6168
1654.0000000	Min Ziqun, 1995	1654						Xizang (Tibet)	30.800	95.600	50.0	50.0			9	Min Ziqun, 1995	7.00		s							6169
1654.0721000	Min Ziqun, 1995	1654	07	21				S of Tongwei (Gansu)	34.300	105.500	25.0	25.0			11	Min Ziqun, 1995	8.00		s		Min Ziqun, 1995		10			6171
1655.1113190	CERESIS, 1995	1655	11	13	19	45		[Peru]	-12.300	-77.600				30	10	CERESIS, 1995	7.70		s				10			1062
1657.0315230	CERESIS, 1995	1657	03	15	23	30		[Chile]	-36.830	-73.030					11	Lomnitz, 2004	8.00		s				11			1070
1658.0214000	Tavera et al., 2001	1658	02	14				[Peru]	-8.200	-80.100				40	7	Tavera et al., 2001	7.70		s		Tavera et al., 2001	1	7	MM		7917
1659.0217000	Stucchi et al., 2012	1659	02	17				Redestos	40.713	27.256	50.0	50.0	bw			Stucchi et al., 2012	7.10	0.30	w		University of Thessaloniki, 2003	6	8	MM		1086
1659.1200000	Musson, 2012a	1659	12					Indonesia	-4.200	127.000						Musson, 2012a	7.50		w							7774
1662.0616120	UTSU online	1662	06	16	12			Kinki	35.200	135.950						UTSU online	7.40		jma							1094
1662.1031000	UTSU online	1662	10	31				Hyuga,Osumi	31.700	132.000						UTSU online	7.60		jma							1095
1663.0000000	Benito et al., 2012	1663						[Nicaragua]	12.420	-86.550			cat		8	Benito et al., 2012	7.30		w					MM		5319
1663.0205220	Lamontagne et al., 2008	1663	02	05	22	30		Charlevoix-Kamouraska, Quebec	47.600	-70.100					9	Schulte and Mooney, 2005	6.70	1.00	w				9			8509
1664.0000000	Ambraseys and Douglas, 2004	1664						N Bangla	25.000	90.000						Ambraseys and Douglas, 2004	7.70		w							1103
1664.0522090	Tavera et al., 2001	1664	05	12	09	15		[Peru]	-14.100	-75.850				15	10	Tavera et al., 2001	7.30		s		Tavera et al., 2001	7	10	MM		7919
1666.0922000	Sbeinati et al., 2005	1666	09	22				[Iraq]	37.000	43.000				35	9	Sbeinati et al., 2005	6.90		s		Sbeinati et al., 2005	6	7-8	EMS		1123
1666.1113090	Shebalin and Tatevossian, 1997	1666	11	13	09			Turkey	39.700	39.500	131.0	111.0		10	10	Shebalin and Tatevossian, 1997	7.50		s		Shebalin and Tatevossian, 1997	1		MSK		6758
1667.0000000	Alvarez et al., 1999	1667						[Jamaica]	17.800	-77.000				30		Alvarez et al., 1999	6.70		s							1126
1668.0114000	Shebalin and Tatevossian, 1997	1668	01	14				Azerbaijan	41.000	48.000	66.0	56.0		40	10	Shebalin and Tatevossian, 1997	7.80		s		Shebalin and Tatevossian, 1997	20		MSK		6760
1668.0725000	Min Ziqun, 1995	1668	07	25				Tancheng (Shandong)	34.800	118.500	25.0	25.0			11	Min Ziqun, 1995	8.50		s		Min Ziqun, 1995		11			6178
1668.0729000	Shebalin and Leydecker, 1997	1668	07	29				Caucasus	41.000	48.000	133.0	111.0		30		Shebalin and Leydecker, 1997	7.10		s							1149
1668.0817000	Ambraseys and Jackson, 1998	1668	08	17				Amasya	40.500	36.000						Ambraseys and Jackson, 1998	7.90		s							7688
1671.1017000	Musson, 2012a	1671	10	17				Saparua	-3.800	128.700						Musson, 2012a	7.50		w							7775
1672.0214000	Stucchi et al., 2012	1672	02	14				Bozcaada	39.818	25.717	50.0	50.0	bw			Stucchi et al., 2012	7.05	0.33	w		Taxeidis, 2003	5	8	EMS		1165
1673.0509110	Alvarez et al., 1999	1673	05	09	11	30		[Dominican Republic]	18.400	-70.300				30		Flores et al., 2012	7.30	0.70	w	bw						1167
1673.0812141	Musson, 2012a	1673	08	12	14	15		Indonesia	0.800	127.300						Musson, 2012a	7.00		w							7776
1674.0316000	Palme et al., 2005	1674	03	16				[Venezuela]	8.950	-70.800			bw			Palme et al., 2005	7.40	0.63	w	bw						7920
1675.0216233	Musson, 2012a	1675	02	16	23	30		Ambon	-4.000	127.750						Musson, 2012a	7.90		w							7777
1677.0413020	UTSU online	1677	04	13	02			Sanriku area	41.000	143.000						UTSU online	7.90		jma							1189
1677.1104200	UTSU online	1677	11	04	20			Fukushima Pref., E Kanto area	35.000	141.500						UTSU online	8.00		jma							1191
1677.1207110	Bautista and Oike, 2000	1677	12	07	11	30		Philippines	14.500	119.500						Bautista and Oike, 2000	7.30		s							1193
1678.0211140	Alvarez et al., 1999	1678	02	11	14	59		[Cuba]	19.900	-76.000				30		Alvarez et al., 1999	6.70		s							1203
1678.0616010	Tavera et al., 2001	1678	06	16	01	45		[Peru]	-12.300	-77.800				40	9	Tavera et al., 2001	7.70		s		Tavera et al., 2001	6	8	MM		7922
1678.1002200	UTSU online	1678	10	02	20			Tohoku area	39.000	142.000						UTSU online	7.50		jma							1211
1679.0902000	Min Ziqun, 1995	1679	09	02				Sanhe and Pinggu (Hebei)	40.000	117.000	25.0	25.0			11	Min Ziqun, 1995	8.00		s		Min Ziqun, 1995		10			6187
1681.0110000	Stucchi et al., 2012	1681	01	10				Heraklio	35.400	23.500	10.0	10.0	cat		8	Stucchi et al., 2012	7.00	0.50	w		University of Thessaloniki, 2003	3	8	MM		1222
1681.0310000	CERESIS, 1995	1681	03	10				[Chile]	-18.500	-70.350					10	Lomnitz, 2004	7.25	0.25	s				10			1225
1681.0818000	Stucchi et al., 2012	1681	08	18				[Vrancea deep]	45.700	26.600	29.9	29.9	cat	150	8	Stucchi et al., 2012	7.10	0.30	w							1230
1681.1211000	Musson, 2012a	1681	12	11				Indonesia	-2.200	99.000						Musson, 2012a	7.00		w							7778
1681.1227040	Stucchi et al., 2012	1681	12	27	04	30		[Vrancea]	45.700	26.600	29.9	29.9	cat	150	8	Stucchi et al., 2012	7.10	0.30	w							1231
1683.1016000	Musson, 2012a	1683	10	16				Banda	-4.500	130.300						Musson, 2012a	7.00		w							7779
1683.1020050	UTSU online	1683	10	20	05			Tochigi Pref., Fukushima Pref.	36.900	139.900						UTSU online	7.00		jma							1239
1683.1122000	Min Ziqun, 1995	1683	11	22				Close to Yuanping (Shanxi)	38.700	112.700	25.0	25.0			9	Min Ziqun, 1995	7.00		s							6198
1684.0000000	Alvarez et al., 1999	1684						[Dominican Republic]	18.400	-70.300				30		Flores et al., 2012	7.00	0.70	w	bw						1241
1686.0104110	UTSU online	1686	01	04	11			Hiroshima, Yamaguchi, Ehime Pref.	34.000	132.600						UTSU online	7.20		jma							1246
1686.1003090	Usami, 1979	1686	10	03	07			Japan	34.450	137.400						Usami, 1979	7.00		jma							7526
1687.0712070	CERESIS, 1995	1687	07	12	07			[Chile]	-32.750	-70.730					8	Lomnitz, 2004	7.25	0.25	s				8			1254
1687.1020110	Tavera et al., 2001	1687	10	20	10	30		[Peru]	-13.231	-76.507				30	10	Tavera et al., 2001	8.60		w		Tavera et al., 2001	14	9	MM		7927
1688.1019000	Bautista and Oike, 2000	1688	10	19				Philippines	16.950	122.200						Bautista and Oike, 2000	7.50		s							1275
1690.0405000	Flores et al., 2012	1690	04	05				Lesser Antilles	17.080	-62.510			bw			Flores et al., 2012	7.50	0.20	w	bw	Flores et al., 2012	11	9	MM		8347
1690.1120190	Tavera et al., 2001	1690	11	20	19	30		[Peru]	-12.550	-77.000				40	6	Tavera et al., 2001	7.20		s		Tavera et al., 2001	1	6	MM		7930
1691.0000000	Alvarez et al., 1999	1691						[Dominican Republic]	18.400	-70.300				30		Flores et al., 2012	7.50	0.70	w	bw						1279
1692.0607160	SisFrance, 2010	1692	06	17	16	40		Jamaique	17.966	-76.783	50.0	50.0			10	Alvarez et al., 1999	7.50		s		SisFrance, 2010	11	10	MSK		8349
1692.0913110	CERESIS, 1995	1692	09	13	11			[Argentina]	-25.400	-64.800				30	9	CERESIS, 1995	7.00		s				9			1291
1693.0111130	Stucchi et al., 2012	1693	01	11	13	30		Sicilia orientale	37.140	15.013	5.4	15.6	bx		11	Stucchi et al., 2012	7.42	0.30	w		Guidoboni et al., 2007	185	11	MCS		1296
1694.0619070	UTSU online	1694	06	19	07			N side of Akita Pref.	40.200	140.100						UTSU online	7.00		jma							1297
1695.0511240	Ambraseys and Melville, 1982	1695	05	12				Isfara'in	36.800	57.000						Ambraseys and Melville, 1982	7.00		s							6863
1695.0518000	Min Ziqun, 1995	1695	05	18				Linfen (Shanxi)	36.000	111.500	25.0	25.0			10	Min Ziqun, 1995	7.75		s		Min Ziqun, 1995		10			6210
1696.0414000	Ambraseys and Melville, 1982	1696	04	14				Chaldiran	39.100	43.900						Ambraseys and Melville, 1982	7.00		s							6872
1696.0714090	Tavera et al., 2001	1696	07	14	09			[Peru]	-12.800	-77.700				20	6	Tavera et al., 2001	6.70		s							7932
1697.0207000	Zúñiga et al., 1997	1697	02	07				Costa de Guerrero	16.500	-99.000					9	Zúñiga et al., 1997	7.50		w				9			8884
1697.0929130	Tavera et al., 2001	1697	09	29	13	30		[Peru]	-12.300	-77.400				30	6	Tavera et al., 2001	7.30		s							7933
1698.0620060	Beauval et al., 2010	1698	06	20				Ambato	-1.400	-78.800			bw		9	Beauval et al., 2010	7.30	0.35	w	bw	Beauval et al., 2010	20	9	MSK		7934
1698.1002080	Ambraseys et al., 1994	1698	10	02	08	30		Mediterranean?	32.000	30.000						Ambraseys et al., 1994	6.00		s							7641
1699.0104183	Musson, 2012a	1699	01	04	18	30		Batavia	-7.000	105.500						Musson, 2012a	7.50		w							7780
1699.0714090	Tavera et al., 2001	1699	07	14	09			[Peru]	-11.800	-77.500				40	7	Tavera et al., 2001	7.80		s		Tavera et al., 2001	2	7	MM		7935
1700.0127050	Lamontagne et al., 2008	1700	01	27	05			Cascadia Subduction Zone	48.500	-125.000					7	Lamontagne et al., 2008	9.00		w				7			8510
1700.0415000	UTSU online	1700	04	15				Iki, Tsushima	33.900	129.600						UTSU online	7.00		jma							1339
1701.0612000	Stucchi et al., 2012	1701	06	12				[Vrancea deep]	45.700	26.600	29.9	29.9	cat	150	8	Stucchi et al., 2012	7.10	0.30	w							1343
1701.1109000	Flores et al., 2012	1701	11	09				[Haiti]	18.420	-72.650			bw			Flores et al., 2012	6.60	0.30	w	bw	Flores et al., 2012	5	7	MM		8352
1703.1231021	Grunewald and Stein, 2006	1703	12	31				S Kanto	35.030	139.660						Grunewald and Stein, 2006	8.20	0.20	jma		Usami, 1994	83		JMA		6215
1704.0527130	UTSU online	1704	05	27	13			Akita Pref., Aomori Pref.	40.400	140.000						UTSU online	7.00		jma							1353
1705.1000000	Musson, 2012a	1705	10					Ambon	-4.000	127.900						Musson, 2012a	7.00		w							7781
1705.1124000	Sbeinati et al., 2005	1705	11	24				[Syria]	33.700	36.600				35	8	Sbeinati et al., 2005	6.90		s		Sbeinati et al., 2005	4	8	EMS		1356
1707.1028140	UTSU online	1707	10	28	14			Western Japan	33.000	136.000						UTSU online	8.60		jma							1365
1707.1029060	UTSU online	1707	10	29	06			Shizuoka and Yamanashi Pref.	35.100	138.600						UTSU online	7.00		jma							1366
1709.1014000	Min Ziqun, 1995	1709	10	14				Zhongwei (Ningxia)	37.400	105.300	25.0	25.0			9-10	Min Ziqun, 1995	7.50		s		Min Ziqun, 1995		8			6220
1710.0306000	Musson, 2012a	1710	03	06				Indonesia	-4.530	129.900						Musson, 2012a	7.00		w							7782
1711.0000000	White et al., 2004	1711						Comasagua	13.667	-89.417					7	White et al., 2004	7.00	0.30	w				7	MM	"subduction"	8291
1712.1214000	White et al., 2004	1712	12	14				Costuma	13.583	-88.833					8	White et al., 2004	7.10	0.20	w				8	MM	"subduction"	8292
1713.0904000	Min Ziqun, 1995	1713	09	04				Diexi and Maoxian (Sichuan)	32.000	103.700	25.0	25.0			9	Min Ziqun, 1995	7.00		s							6234
1715.0823000	CERESIS, 1995	1715	08	23				[Peru]	-17.300	-70.800				80	7	Lomnitz, 2004	8.00		s				7			1397
1716.0000000	Shebalin and Leydecker, 1997	1716						Middle Asia, Kazakhstan	41.200	80.300	66.0	56.0		30		Shebalin and Leydecker, 1997	7.50		s							1400
1716.0203020	Hamdache et al., 2010	1716	02	03	02			Algeria	36.700	3.100					10	Hamdache et al., 2010	7.00		w							6669
1717.0000000	Stucchi et al., 2012	1717						Crete	35.900	22.900	10.0	10.0	cat		8	Stucchi et al., 2012	7.00	0.50	w		University of Thessaloniki, 2003	1	8	MM		1411
1717.0513140	UTSU online	1717	05	13	14			Sendai	38.500	142.500						UTSU online	7.50		jma							1414
1717.0929000	White et al., 2004	1717	09	29				Patzicia	14.500	-90.750					8	White et al., 2004	7.40	0.20	w				8	MM	"subduction"	8144
1717.1003000	White et al., 2004	1717	10	03				Amatitlan, Guazacapan	14.333	-90.500					6-7	White et al., 2004	7.00	0.20	w				6-7	MM	"subduction"	8145
1718.0619000	Min Ziqun, 1995	1718	06	19				S of Tongwei (Gansu)	35.000	105.200	25.0	25.0			10	Min Ziqun, 1995	7.50		s							6238
1718.0822140	UTSU online	1718	08	22	14			S Nagano Pref. (Inadani)	35.300	137.900						UTSU online	7.00		jma							1420
1719.0305000	White et al., 2004	1719	03	05				Ystepeque	13.667	-89.000					8	White et al., 2004	7.60	0.20	w				8	MM	"subduction"	8293
1719.0525000	Stucchi et al., 2012	1719	05	25				Izmit	40.733	29.777	4.5	13.5	bx		9-10	Stucchi et al., 2012	6.75	0.30	w		University of Thessaloniki, 2003	13	10	MM		8931
1720.0000000	White et al., 2004	1720						Siquinala	14.667	-91.000					7	White et al., 2004	7.00	0.20	w				7	MM	"subduction"	8146
1720.0725120	Ambraseys and Douglas, 2004	1720	07	25	12	30		N Uttarpradesh	30.000	80.000						Ambraseys and Douglas, 2004	7.40		w							1430
1721.0426070	Ambraseys and Melville, 1982	1721	04	26	07			SW Tabriz	37.900	46.700						Ambraseys and Melville, 1982	7.70		s							5360
1724.1012020	Stucchi et al., 2012	1724	10	12	02	45		[Océano Atlántico]	39.000	-12.500	99.9	99.9	cat			Stucchi et al., 2012	7.00	0.50	w							1442
1724.1100000	Dimate et al., 2005	1724	11					Chita	6.200	-72.480					8	Dimate et al., 2005	6.75		w							7941
1725.0107040	CERESIS, 1995	1725	01	07	04	15		[Peru]	-9.200	-79.300				60	9	Dorbath et al., 1990	7.50		w				9			1449
1725.0201110	Tatevossian et al., 2012	1725	02	01				[Russia]	52.360	114.200					6-7	Tatevossian et al., 2012	6.80	0.20	s		Tatevossian et al., 2012	4	6-7	MSK		5361
1725.0801000	Min Ziqun, 1995	1725	08	01				Kangding (Sichuan)	30.000	101.900	25.0	25.0			9	Min Ziqun, 1995	7.00		s							6241
1727.1109000	SisFrance, 2010	1727	11	09	18	30		Nord-Est Martinique	14.983	-60.750	50.0	50.0				Tanner and Shepherd, 1997	6.57		w		SisFrance, 2010	2	6-7	MSK	"subduction"	8355
1730.0708100	CERESIS, 1995	1730	07	08	10			[Chile]	-33.050	-71.630					11	Lomnitz, 2004	8.75	0.25	s				11			1479
1730.1111030	UTSU online	1730	11	11	03			Coast of Ibakaki Pref.	36.000	142.000						UTSU online	7.30		jma							1483
1732.1202060	Tavera et al., 2001	1732	12	02	06			[Peru]	-11.800	-77.600				50	6	Tavera et al., 2001	6.90		s		Tavera et al., 2001	3	6	MM		7947
1733.0500000	White et al., 2004	1733	05					Patzicia	14.667	-91.083					7	White et al., 2004	7.00	0.20	w				7	MM	"subduction"	8147
1733.0802000	Min Ziqun, 1995	1733	08	02				Dongchuan and Ziniupo (Yunnan)	26.200	103.100	25.0	25.0			10	Min Ziqun, 1995	7.75		s		Min Ziqun, 1995		10			6247
1733.1130000	Gouin, 1979	1733	11	30				Eritrean scarp	15.700	39.000						Gouin, 1979	6.00		m							6926
1736.0506000	White et al., 2004	1736	05	06				Tecoluca	13.583	-88.917					8	White et al., 2004	7.20	0.10	w				8	MM	"subduction"	8294
1737.0306170	Stucchi et al., 2012	1737	03	06	17	30		Ezine	40.224	26.966	24.7	36.8	bx		10	Stucchi et al., 2012	7.36	0.67	w		Taxeidis, 2003	14	10	EMS		1506
1737.1017150	Shebalin and Leydecker, 1997	1737	10	17	15	30		Kamchatka	51.100	158.000	148.0	111.0		40		Shebalin and Leydecker, 1997	8.30		s							1511
1737.1104080	Shebalin and Leydecker, 1997	1737	11	04	08			Kamchatka	55.500	163.000	316.0	223.0		20		Shebalin and Leydecker, 1997	7.80		s						location error very large (+/-2 degrees).	1513
1737.1224000	CERESIS, 1995	1737	12	24				[Chile]	-39.800	-73.200					11	Lomnitz, 2004	7.50		s				11			1518
1738.0611100	Stucchi et al., 2012	1738	06	11	10			[Vrancea deep]	45.700	26.600	29.9	29.9	cat	130	9-10	Stucchi et al., 2012	7.70	0.30	w		Shebalin (ed.), 1977	8	8	MSK		1527
1738.1223000	Min Ziqun, 1995	1738	12	23				Yushu, Qinghai	33.300	96.600	100.0	100.0			8	Min Ziqun, 1995	6.50		s							6559
1738.1226010	Shebalin and Leydecker, 1997	1738	12	26	01			Kamchatka	55.000	157.500	156.0	111.0		350		Shebalin and Leydecker, 1997	7.10		s						very doubtful parameters	1531
1739.0103000	Min Ziqun, 1995	1739	01	03				Pingluo and Yinchuan (Ningxia)	38.800	106.500	25.0	25.0			10+	Min Ziqun, 1995	8.00		s							6252
1740.0405000	Stucchi et al., 2012	1740	04	05				[Vrancea deep]	45.700	26.600	29.9	29.9	cat	150	8-9	Stucchi et al., 2012	7.30	0.30	w							1536
1741.0131010	Stucchi et al., 2012	1741	01	31	01	15		Rhodos	36.160	28.500	50.0	50.0	bw			Stucchi et al., 2012	7.54	0.30	w		University of Thessaloniki, 2003	7	8	MM		1540
1741.0215000	Tanner and Shepherd, 1997	1741	02	15				[Guatemala]	15.750	-90.420				10	8	Tanner and Shepherd, 1997	7.00		w							1541
1741.0825000	Tavera et al., 2001	1741	08	25				[Ecuador]	-3.100	-78.100					9	Tavera et al., 2001	6.80		s							7949
1742.0000000	White et al., 2004	1742						Comasagua	14.000	-90.083					8	White et al., 2004	7.20	0.10	w				8	MM	"subduction"	8295
1742.0000003	White et al., 2004	1742						Tacuilula	13.583	-89.083					8	White et al., 2004	7.10	0.20	w				8	MM	"subduction"	8296
1742.0627050	Tatevossian et al., 2012	1742	06	27				[Russia]	53.500	109.500					7	Tatevossian et al., 2012	7.70	0.30	s		Tatevossian et al., 2012	6	7	MSK		6901
1742.0810000	White et al., 2004	1742	08	10				San Antonio Suchilepequez	14.500	-91.500					8	White et al., 2004	7.10	0.20	w				8	MM	"subduction"	8148
1743.0220160	Stucchi et al., 2012	1743	02	20	16	30		Basso Ionio	39.846	18.772	57.5	83.1	bx		9	Stucchi et al., 2012	7.10	0.30	w		Boschi et al., 2000	77	9	MCS		1562
1743.0530000	White et al., 2004	1743	05	30				Tuxtla	16.750	-92.750					8	White et al., 2004	7.80	0.40	w				8	MM	"subduction"	8871
1746.1029030	Tavera et al., 2001	1746	10	29	03	30		[Peru]	-11.996	-77.198				30	10	Tavera et al., 2001	8.80		w		Tavera et al., 2001	21	10	MM		7951
